127.0.0.1 - - [18/Oct/2023:14:37:28 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Oct/2023:14:37:29 -0400] "GET /database/login.jsp HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [18/Oct/2023:14:37:29 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Oct/2023:14:37:34 -0400] "POST /database/login HTTP/1.1" 200 4246
0:0:0:0:0:0:0:1 - - [18/Oct/2023:14:37:44 -0400] "GET /database/login.jsp HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [18/Oct/2023:14:37:46 -0400] "POST /database/login HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [18/Oct/2023:14:37:51 -0400] "GET /database/login.jsp HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [18/Oct/2023:14:37:54 -0400] "POST /database/login HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [18/Oct/2023:14:37:55 -0400] "POST /database/login HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [18/Oct/2023:14:38:02 -0400] "POST /database/login HTTP/1.1" 200 4246
0:0:0:0:0:0:0:1 - - [18/Oct/2023:14:38:06 -0400] "GET /database/login.jsp HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [18/Oct/2023:14:38:10 -0400] "POST /database/login HTTP/1.1" 200 365
